Entry ID,Title,Phase 1,Phase 2,Phase 3,Affiliation,Section,Personnel,Geography,Keywords,Project Area Focus,Project Type,Project Status,Additional Keywords
45,Project 45 Title,True,True,False,Harvard University,"END, ARTIFICIAL, ARTIFICIAL INTELLIGENCE","LGBTQ leadership, Female leadership",Germany,"CARBON, COMMONS, TERRITORY",Middle East and North Africa,"Augmented Reality, Virtual Reality, or other Experience",In Progress,"rlmv, vurw, szevjbtj, ajsdeqymzj, iuouzwcqr"
46,Project 46 Title,True,True,False,INDEPENDENT,"COLLECTIVE, COLLECTIVE INTELLIGENCE",Disability perspective,Brazil,"TERRITORY, BODY, LABOR",Middle East and North Africa,Other,"Complete, published or exhibited before","kvxrxtvnr, nkuwz, gpndgq, yrnxhhbakk, eqnw, cruuizt"
47,Project 47 Title,True,True,True,Stanford University,INTRO,Under 35 years old,USA,"URBAN, CARE, LABOR",Central America,Image or Drawing,"Complete, published or exhibited before","nyubn, szhtw, zcliw, vepvpypvtj"
48,Project 48 Title,True,True,False,Harvard University,"ARTIFICIAL INTELLIGENCE, NATURAL INTELLIGENCE",Disability perspective,China,"EDUCATION, DIGITAL, PRACTICE","Outer Space, Sub-Saharan Africa",Panel or Event,"Complete, published or exhibited before","vpsmraiax, juionq, scdhpwwfhm, otvjqfmty, hisogrkjau, lcfcx, atlubvamhx, gpbhss"
49,Project 49 Title,True,True,False,Oxford University,NATURAL,"Disability perspective, Student leadership",USA,"EDUCATION, ECOLOGY, TRADITION",Asia,"Image or Drawing, Panel or Event","Complete, unpublished","rxot, drczrtubrt, mmwcrh, zeytjfvwsf, canoq, zxigyu, ufovqxyx, kxom, pmxbjblb, kvzlushw"
50,Project 50 Title,True,True,True,INDEPENDENT,"INTRO, NATURAL INTELLIGENCE","Under 35 years old, Female leadership",Australia,"MATERIALS, ECOLOGY",North America,"Other, Panel or Event",Preliminary Proposal,"evzkksgse, gkqowtsww, vqouilnmpa, ctcdgtyntr, tltmajd, ycyjo, eeowcog, rccf, cpyzdcxlk"
51,Project 51 Title,True,True,False,Oxford University,"INTRO, ARTIFICIAL INTELLIGENCE","LGBTQ leadership, Insights from the Global South",India,"URBAN, PRACTICE, KNOWLEDGE",Oceania,"Other, Essay","Complete, unpublished","hqfkuwb, gizukmah, tgah, mcizrqsg, ebvwta, cvakzptsqj, zofapwwlq, ozbdv, wapauwpht, kvyybz"
52,Project 52 Title,True,True,True,Harvard University,"NATURAL, OUT","LGBTQ leadership, Insights from the Global South, Transnational (immigrant, refugee, multicultural) perspective",Canada,"PLANET, ECOLOGY","Sub-Saharan Africa, Asia","Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"eqpyuyev, ppgtohntwp, mcfuaw"
53,Project 53 Title,True,True,True,MIT,"OUT, NATURAL","Under 35 years old, Insights from the Global South",South Africa,WASTE,Sub-Saharan Africa,"Exhibition, Outdoor Installation","Complete, published or exhibited before","lthj, dzbrksnz, yrrxsxtbg, calmqry, kspm, mvlccvlpo, uvmfcffb, tknzasdgj, gbkedq"
54,Project 54 Title,True,True,True,MIT,OUT,Insights from the Global South,South Africa,DIGITAL,Oceania,"Augmented Reality, Virtual Reality, or other Experience, Outdoor Installation",Preliminary Proposal,"qxinv, gqknmwp, lihiygwt, cwwdzl, etggqzopo, yophgcauww, tvscgnv, tcaj"
55,Project 55 Title,True,True,False,Stanford University,"NATURAL INTELLIGENCE, END","Transnational (immigrant, refugee, multicultural) perspective, Under 35 years old, Disability perspective",Japan,TRADITION,"Outer Space, Europe","Outdoor Installation, Panel or Event","Complete, published or exhibited before","qajazif, yeaszpyxec, pwpryymmhc, cjpo, wxvggtubcj, lhuldybv, qfhwscy, hgaanqmho, rwekoju"
56,Project 56 Title,True,True,False,MIT,"NATURAL, COLLECTIVE","Transnational (immigrant, refugee, multicultural) perspective",UK,"PRACTICE, SCIENCE",Sub-Saharan Africa,"Augmented Reality, Virtual Reality, or other Experience",In Progress,"ttdctjya, jmmd, xeqeq, ppfxkop, mzvprpd, mtnjpxkouo, aicxwsjbdq"
57,Project 57 Title,True,True,False,Oxford University,COLLECTIVE,"LGBTQ leadership, Under 35 years old",Japan,"PRACTICE, TERRITORY",Asia,Video,"Complete, published or exhibited before","tpobudz, phldtk, fjbkz, oghaaagke"
58,Project 58 Title,True,True,True,Stanford University,ARTIFICIAL,Disability perspective,South Africa,URBAN,Outer Space,"Outdoor Installation, Exhibition","Complete, published or exhibited before","xxyfkhpm, juzuiizq, yberrv"
59,Project 59 Title,True,True,False,INDEPENDENT,ARTIFICIAL INTELLIGENCE,"Student leadership, Insights from the Global South",UK,METHOD,"Oceans, Ice, and Atmosphere, Outer Space","Other, Outdoor Installation","Complete, published or exhibited before","bjwfouql, fbqd, aemhe, ntdrbj, jpabfdhct, lcqaxip, cobdpk, besjm, hqvmi"
60,Project 60 Title,True,True,True,Stanford University,ARTIFICIAL,"Transnational (immigrant, refugee, multicultural) perspective, Disability perspective",South Africa,KNOWLEDGE,Middle East and North Africa,"Other, Essay","Complete, unpublished","hksgolhxwp, pnahhajl, dseh, oaralhukfx"
61,Project 61 Title,True,True,False,INDEPENDENT,"COLLECTIVE INTELLIGENCE, ARTIFICIAL","Insights from the Global South, Disability perspective",USA,"CARBON, BIOMIMICRY",Europe,"Essay, Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"tkungxwj, bpcdhdqk, ulovaaas, lvcq, zbmzlc, mfajp, zsysneruhu, esclf, uhowhtro"
62,Project 62 Title,True,True,False,Stanford University,"OUT, ARTIFICIAL INTELLIGENCE",Insights from the Global South,Brazil,"BODY, TECHNOLOGY, CARE",Outer Space,"Image or Drawing, Exhibition",Preliminary Proposal,"wixobjcg, uywrvow, vltgovs, xyqxy, hiacpnffb"
63,Project 63 Title,True,True,False,MIT,"END, ARTIFICIAL",LGBTQ leadership,Germany,"PLANET, CARE","Non-Spatial or Dislocated, Sub-Saharan Africa",Exhibition,"Complete, unpublished","clttmwmmh, kitoxx, yeobta, gkhu"
64,Project 64 Title,True,True,True,INDEPENDENT,"ARTIFICIAL INTELLIGENCE, INTRO, OUT","Transnational (immigrant, refugee, multicultural) perspective, Insights from the Global South",Australia,"PRACTICE, TERRITORY",Caribbean,"Other, Exhibition","Complete, published or exhibited before","hfaixsyi, tnjvoarv, tcmzz, zghxv, arimhgkry"
65,Project 65 Title,True,True,False,INDEPENDENT,"ARTIFICIAL INTELLIGENCE, ARTIFICIAL","LGBTQ leadership, Transnational (immigrant, refugee, multicultural) perspective",Canada,"LOGISTICS, SCIENCE, TERRITORY",South America,"Other, Essay","Complete, published or exhibited before","kbixglmjdz, xdopk, mrsknldxp, pfdfjno, yudfd, gpuibtuky, zxlqikqh, mhjaezfmxl, gzogalyqk"
66,Project 66 Title,True,True,False,Stanford University,COLLECTIVE,"Transnational (immigrant, refugee, multicultural) perspective",India,BODY,Middle East and North Africa,"Outdoor Installation, Other","Complete, published or exhibited before","zadwhsrmsk, shykrtwi, ssqx, xwwbuhwt, pxygjkhsdn, cfkzjnon, gjboritcbz, nejz, yqclt, uytlaj"
67,Project 67 Title,True,True,False,Harvard University,NATURAL,"Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership",Germany,"PUBLIC, PRACTICE","Europe, North America","Augmented Reality, Virtual Reality, or other Experience",In Progress,"lzqzhcamgt, riricgiv, wpfeqhbca, ntjihehxm, edetppicz, uplsskh, hsbcmghcih, kwutdvdl"
68,Project 68 Title,True,True,False,MIT,"COLLECTIVE INTELLIGENCE, INTRO, NATURAL","Female leadership, Disability perspective",Canada,PLANET,Caribbean,"Essay, Panel or Event",In Progress,"caxy, kltckctbh, tjrnbg, kyym, hiroyjfi, swbxgtafxu, wfeewadomg, teqerdqefr"
69,Project 69 Title,True,True,True,Harvard University,"ARTIFICIAL, END, ARTIFICIAL INTELLIGENCE",Student leadership,India,METHOD,"Non-Spatial or Dislocated, Outer Space","Other, Outdoor Installation","Complete, unpublished","fgmb, zmxhvox, vrfvplbws, fxua, cqyqrbf, rxwkqj, gsxb, qvnzpp, qkiazx, ltrg"
70,Project 70 Title,True,True,True,Oxford University,"ARTIFICIAL, NATURAL INTELLIGENCE, ARTIFICIAL INTELLIGENCE","LGBTQ leadership, Disability perspective",China,CARE,North America,Outdoor Installation,"Complete, unpublished","upgfrvgcmy, cgjyqmls, gqwr, kcmqclue, mldalgqkqi, qxbcafdsfx, ilnhqaga, vfpheegyb, gtenrrqxfz"
71,Project 71 Title,True,True,False,Oxford University,"INTRO, COLLECTIVE INTELLIGENCE, END",Insights from the Global South,Australia,"CARBON, ENERGY, TRADITION","Oceans, Ice, and Atmosphere",Other,Preliminary Proposal,"rthpdqtk, txofm, npmj, ogerg"
72,Project 72 Title,True,True,True,MIT,"OUT, END","Student leadership, LGBTQ leadership",Germany,"WASTE, PRACTICE, SOLIDARITY","Caribbean, Outer Space","Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"zxckqt, uvglmiutzw, ndzdhju"
73,Project 73 Title,True,True,True,Stanford University,COLLECTIVE,"Insights from the Global South, Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective",UK,"METHOD, TECHNOLOGY, ECOLOGY","Non-Spatial or Dislocated, Planetary",Video,"Complete, published or exhibited before","hmoyvrroki, aazfmjjwih, xajit, uofcjbx, bucgdmu, kvegwa, gdzertmp, ooanofthfq"
74,Project 74 Title,True,True,False,MIT,NATURAL,"Insights from the Global South, Female leadership, Transnational (immigrant, refugee, multicultural) perspective",UK,"SOLIDARITY, CARBON","Middle East and North Africa, Oceans, Ice, and Atmosphere","Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"rang, rzacgxy, yngugo, oupggprcc"
75,Project 75 Title,True,True,True,Harvard University,NATURAL INTELLIGENCE,LGBTQ leadership,Germany,"METHOD, PRACTICE, EDUCATION","Oceans, Ice, and Atmosphere",Essay,"Complete, published or exhibited before","xqjs, jqigwbooog, rpubal, gqjqb, ozohrj"
76,Project 76 Title,True,True,True,INDEPENDENT,"INTRO, END","Student leadership, Under 35 years old",South Africa,WASTE,"Sub-Saharan Africa, Oceania","Video, Essay",In Progress,"azcnkv, ancbfsmrnc, mrmqid, eblrewfby, xvizspfom, ykpmmzdab, lzgovbhq, ulrriypy, giqjzfym, otzrywu"
77,Project 77 Title,True,True,False,Stanford University,"COLLECTIVE, END, OUT","Student leadership, Female leadership",India,DIGITAL,"Sub-Saharan Africa, North America","Image or Drawing, Essay",In Progress,"jiryjrnnwv, odxefsbls, hfdrmgg, pdusaklg, agjun, ykybpyjajw, ukstwzppp"
78,Project 78 Title,True,True,False,Stanford University,OUT,"Under 35 years old, LGBTQ leadership",Australia,TECHNOLOGY,"Planetary, Non-Spatial or Dislocated",Panel or Event,"Complete, published or exhibited before","hwldvdfdqt, jsibtih, ojlymlxrro, tnoffuetjj, xfsu, kxauutyrs, pakmvevgzn"
79,Project 79 Title,True,True,False,MIT,"END, COLLECTIVE INTELLIGENCE",Insights from the Global South,Brazil,"COMMONS, DIGITAL, TERRITORY",Planetary,Outdoor Installation,Preliminary Proposal,"klbxn, oktdrhm, paliw, svrgk, uhxidtgey, xkks, zcckpmalb, wpqykwc, smsmgumwpo, wqxqgbw"
80,Project 80 Title,True,True,True,MIT,"ARTIFICIAL INTELLIGENCE, INTRO, OUT",Under 35 years old,UK,CARE,Central America,Image or Drawing,Preliminary Proposal,"ebgtvjt, frlpo, mwabhwlm, wlpyt"
81,Project 81 Title,True,True,True,Oxford University,"ARTIFICIAL, COLLECTIVE INTELLIGENCE, COLLECTIVE","Transnational (immigrant, refugee, multicultural) perspective, Disability perspective, Female leadership",USA,"SCIENCE, EDUCATION","Planetary, North America","Other, Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"plugi, grsed, tgsq, uaoifdr, mhnperjpc, gvosxp, uwocgawg, suakxe, mmbcqbakgb, yzjw"
82,Project 82 Title,True,True,False,Harvard University,"ARTIFICIAL INTELLIGENCE, ARTIFICIAL",Insights from the Global South,India,"ENERGY, LABOR, ECOLOGY","Oceans, Ice, and Atmosphere","Outdoor Installation, Exhibition","Complete, unpublished","lqmkicd, myuf, dhhhaljv, edhorpgx, duek, tewceiiw, xcyulkrmxg"
83,Project 83 Title,True,True,True,Oxford University,"NATURAL, END, ARTIFICIAL INTELLIGENCE","Under 35 years old, Insights from the Global South",Germany,"MATERIALS, SCIENCE","Oceans, Ice, and Atmosphere","Other, Outdoor Installation",Preliminary Proposal,"zokf, cgzro, gyfib, reado"
84,Project 84 Title,True,True,False,Stanford University,"COLLECTIVE, END","Disability perspective, Under 35 years old, Student leadership",Canada,JUSTICE,"Outer Space, Oceania","Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","radsqpwc, dzotriu, poiruqcu"
85,Project 85 Title,True,True,True,Harvard University,"NATURAL, NATURAL INTELLIGENCE, END","Transnational (immigrant, refugee, multicultural) perspective, Under 35 years old",Australia,"COMMONS, KNOWLEDGE",North America,"Panel or Event, Other","Complete, unpublished","oqrzqv, bpynwz, bbgpb, gdogcepvp, ecpi, ashpou, mpfpjdrp, rofa, uhvnbylhu, yobmowvvi"
86,Project 86 Title,True,True,True,INDEPENDENT,COLLECTIVE INTELLIGENCE,Under 35 years old,Canada,LOGISTICS,Europe,Model or Maquette,In Progress,"lkixe, jooab, lnqfjsctm, clnyucssdo, wtnfhjj, ttvsisjt, ktqjohasg, mnvgvcdv, ihjyhaxe"
87,Project 87 Title,True,True,False,Harvard University,ARTIFICIAL,"LGBTQ leadership, Transnational (immigrant, refugee, multicultural) perspective",China,ENERGY,"Europe, Non-Spatial or Dislocated",Essay,In Progress,"atinfum, pvujmlel, hlcfwaxrh, nnpqegdcck, ynrdmultna"
